,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9
0,GDF3,1.039626213208609,LYRM1,2.5527349850206815,KRT4,1.4162896495842936,TA,2.3367590028943357,NANOS3,1.236983190676,SI:DKEY-28A3.2,1.2990022676381496,SI:CH211-242H13.4,1.2204170421176028,CHD,1.1958620753566829,PRDM14,0.8995783322557144,PHLDA3,1.3687497205722847
1,RHEBL1,1.02618560550506,AGRP2,2.21275296174443,KRT18,1.4096033769888157,EVE1,2.0719177048747555,TDRD7A,1.189802561156701,FTR36,1.1690162237407018,OTUD4,1.1480985913586996,SI:DKEY-261M9.17,1.1869369537887426,SI:CH1073-80I24.3,0.8885567392889574,MDM2,1.217422751948216
2,SI:DKEY-15H14.4,1.0185128192536999,RAPGEF6,2.1738927646361614,LYE,1.3815296191545818,WNT11,1.9179752202002105,HSP90AA1.2,1.113249874861649,HS3ST3B1B,1.1644440178310915,PRKRIP1,1.0805409144507525,HIST2H3C,0.9778472362463255,SI:CH211-139K8.4,0.8566486740796689,SI:CH211-260E23.9,1.0342748874419034
3,SI:CH211-190K17.31,1.002832273713545,CABZ01084942.1,2.17236902551101,KRT92,1.3709170046371175,CDX4,1.8137165603418552,DND1,1.0430872547462269,JAG1B,1.1032351651292966,HSP90AB1,1.0000956256249434,ZIC3,0.9735825947425246,FP236812.1,0.8164329305633449,CTSH,0.9950253215996604
4,MKRN4,0.9958577615288099,MYO3A,2.138885738031037,MID1IP1A,1.3514515824430793,ZNF703,1.732344799142654,ACTL7A,1.0408936198103325,SI:DKEY-186O21.1,1.0827357397776949,PPIB,0.9920632174588292,ADMP,0.9518361185863137,PCDH18B,0.8130836060435326,FOXO3B,0.9927086945523449
5,NCALDA,0.98284788978811,SI:CH73-195I19.3,2.079004382036623,KRT5,1.3478859022341854,TPBGA,1.5178850070956516,BTG4,1.021076720220272,TNFAIP8L2A,1.0725014620102922,SI:DKEY-153M14.1,0.9765502066342059,ZGC:153405,0.8783209128298763,SI:DKEY-188C14.4,0.8102605396068568,RBL2,0.9812268513412423
6,BZW1A,0.9796086236232863,ANO9A,2.0184189585301073,CLDNE,1.3474470938284746,SP5A,1.5036863242965346,FHDC3,0.9526806922161507,KCNK4,1.0613575632011818,SI:DKEY-23A13.15,0.9756518799897179,SI:DKEY-108K21.14,0.8637316498182991,SOX2,0.7902983275953313,APLNRB,0.9794299755778098
7,BX005448.2,0.9750046260642775,ZGC:171775,1.8964294504769446,SI:CH211-125O16.4,1.3310739451436118,AXIN2,1.4964844849514671,SI:DKEY-11O15.10,0.941517297113817,NRXN1B,1.0362263445168098,EIF5,0.9685836010124426,FOXD3,0.8449559570383635,SI:DKEY-95P16.2,0.7442007479674436,SESN3,0.9668304408988163
8,P4HB,0.9676795181153234,TOP1,1.8470758437045742,CEBPB,1.3257990070304826,MSX1B,1.4765243980593696,CA15B,0.9224382464892298,CNNM1,1.034590617762106,SI:DKEY-23A13.4,0.9643408058775343,FOXD5,0.8441076447619534,MAP2K6,0.741759994910516,BCL2L14,0.8973597844513623
9,BX640584.2,0.9520956673213261,DIABLOA,1.8012910866568135,ZGC:101000,1.3240384302749566,MIXL1,1.359830433674643,SKA2,0.9036571089437999,GRB7,1.0212524108796108,SI:CH211-117M22.2,0.9638472510985207,GBGT1L4,0.8303642027888953,UBA52,0.741414211913062,CASP8,0.8670558251355446
10,ZNF1060,0.9466776827923752,FNIP1,1.7728915899974977,KRT97,1.3131463760298365,GBX1,1.2884376413765508,ANKRD12,0.8870014719886709,CPE,1.0049685684224652,GTF2H5,0.9557179309943797,SI:DKEY-23A13.15,0.8276439123932035,SI:DKEY-108K21.27,0.7276724484147891,TP53INP1,0.8168701529570686
11,SI:DKEY-30F3.2,0.9293696692600465,HNRNPA0B,1.7669793050728908,KRT8,1.3026812127376584,ZNF503,1.2258557152796248,CLDNG,0.8702395484946729,HSD17B2,0.9986696962140851,SI:DKEY-108K21.12,0.9522038951238991,FOXB1A,0.8123173686449496,SLC38A3B,0.7240917298607343,ZGC:64022,0.7973645720394816
12,CR391944.1,0.9133757361953658,ZGC:173587,1.7510775244010601,EPS8L1,1.2986815986646854,IM:7138239,1.158405600956637,BMI1B,0.8575883366632792,SYNGAP1A,0.9676413385514679,SI:DKEY-234I14.20,0.9392093155057026,SI:CH211-113A14.10,0.806078125399064,SI:CH211-222L21.1,0.7196384216418426,SESN1,0.7737838393937274
