,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8
0,GDF3,1.0705312402606753,LYRM1,2.5613257723616982,KRT4,1.4490972487295202,TA,2.331681162262838,TDRD7A,1.2735547518639334,SI:DKEY-28A3.2,1.1961109055321386,OTUD4,1.221283106593799,SOX2,1.075870734435565,PHLDA3,1.3113121803268384
1,SI:DKEY-15H14.4,1.0686587324161614,AGRP2,2.207882618180952,KRT18,1.4236934884547463,EVE1,2.056588898185824,NANOS3,1.2651644873005663,HS3ST3B1B,1.0963259172537734,SI:CH211-242H13.4,1.1269300156696758,PRDM14,1.063281465740211,MDM2,1.2207505198068842
2,RHEBL1,1.0456021444464665,RAPGEF6,2.170330371241786,KRT92,1.4108095844739486,WNT11,1.9333718174070984,ACTL7A,1.135419803851026,FTR36,1.0859230547683845,PRKRIP1,1.1189763712915022,ZIC3,0.9048165419545737,CTSH,1.0136198995238568
3,SI:CH211-190K17.31,1.0407281192955864,CABZ01084942.1,2.1507092045627663,LYE,1.395315316964561,CDX4,1.8109620245658344,CA15B,1.092128515946541,JAG1B,1.0841689433858093,SI:DKEY-153M14.1,1.0475423058981777,PCDH18B,0.8494121660953252,FOXO3B,0.9903989953164034
4,MKRN4,1.0227587780465737,MYO3A,2.119350068049941,CLDNE,1.3676086631216051,ZNF703,1.7417020630921698,BTG4,1.0820924918021388,KCNK4,1.0606692320336024,HSP90AB1,1.033180398213785,ADMP,0.8286155085760534,SI:CH211-260E23.9,0.9761127392605914
5,NCALDA,1.0211928447846386,SI:CH73-195I19.3,2.0901843436663654,KRT5,1.3674128453570569,TPBGA,1.5290669089226954,DND1,1.00953482022245,SI:DKEY-186O21.1,1.0171960787577685,SI:DKEY-108K21.12,1.0327435574911568,SLC38A5B,0.8126548037253245,RBL2,0.9675399891162378
6,BZW1A,1.012058014461132,ANO9A,2.0401073729218147,MID1IP1A,1.362684343430689,SP5A,1.510170566036024,MID1IP1L,0.91922760915096,TNFAIP8L2A,1.0056117155280617,SI:CH211-117M22.2,1.0285543735435048,FP236812.1,0.7983482005599923,SESN3,0.9544670583068591
7,P4HB,0.9989413138160885,ZGC:171775,1.904733730888081,ZGC:101000,1.352659351390565,AXIN2,1.5024610954579696,SI:DKEY-11O15.10,0.9188554988057266,NRXN1B,1.004043826458584,PPIB,1.0280863389503576,MCM6,0.7945308035151706,APLNRB,0.9442684608122515
8,ZNF1060,0.9850322280922134,TOP1,1.8439285988447602,KRT97,1.339883468048773,MSX1B,1.4664608435537245,DDX4,0.9177929121951602,GRB7,0.9940005481876165,SI:DKEY-23A13.4,1.0264621545498966,SP5L,0.7776683316853654,CASP8,0.9202239198908369
9,BX005448.2,0.9844707748370445,DIABLOA,1.81166606926493,SI:CH211-125O16.4,1.3372345904806937,MIXL1,1.3472997056427494,SKA2,0.9126978014175107,CNNM1,0.9819468904699937,GTF2H5,0.9856162462561764,LFNG,0.7433878904351569,BCL2L14,0.866077992253555
10,BX640584.2,0.970935563625915,FNIP1,1.7935044013423629,CEBPB,1.3366252286503673,GBX1,1.2951506001370412,BMI1B,0.9107295930742745,CPE,0.9724185850270113,SI:DKEY-23A13.15,0.9830290751045112,SLC38A3B,0.7393094627421611,ZGC:64022,0.8306981052677812
11,CR450785.2,0.9651292281971116,HNRNPA0B,1.7679986023014487,KRT8,1.3248466086253623,ZNF503,1.2282396447708908,HSP90AA1.2,0.9066997232014616,RHD,0.9594043463140043,ZGC:158463,0.979151855108687,OTX1A,0.7375979112284625,FOXI1,0.8290504626399232
12,SI:DKEY-30F3.2,0.9628586957612729,ZGC:173587,1.76387386730819,EPS8L1,1.3174907196317505,IM:7138239,1.1745181849572208,SLC25A25A,0.9030159148179313,SYNGAP1A,0.9578121578558378,EIF5,0.9676000495977335,SEPT12,0.7242341838566767,IGF2A,0.7861763021742815
13,BX324155.1,0.9470102190080443,NME2A,1.6409292392043024,ZNF185,1.2938921534150118,DLD,1.138493386119165,CLDNG,0.9027698908493662,SI:CH211-171H4.5,0.9574096081475097,STM,0.9564484722145811,PKDCCB,0.7143230636817417,TP53INP1,0.7740400758735836
14,CR391944.1,0.9440460118231849,GPRC5BB,1.626998354751438,CLDN23,1.2771511521068513,ZIC2A,1.0848861971688244,ZGC:158852,0.8792684541801511,SI:CH211-178N15.1,0.9196146460585126,FTL,0.9558636287979936,SI:CH1073-80I24.3,0.7141115696589659,EXO5,0.7411876250487535
15,ZNF1040,0.9278019208684914,HUWE1,1.4619080652924719,ZGC:193505,1.2643856840241385,NHSL1B,1.0666159134437865,FHDC3,0.8627539505225469,LAMC1,0.9186397502607578,SI:CH211-194E1.8,0.955063119818223,LHX5,0.7137528756736842,SESN1,0.7378288066684793
16,FAM78BB,0.9214849749395548,KLHL22,1.359298775884815,FTR83,1.2522454556266365,ATP1B3A,1.044472770644231,SI:RP71-45K5.2,0.840379480387291,SI:DKEY-58J15.10,0.9123367821079889,DUT,0.9539154195951919,H2AFX,0.7079553773047824,PLEKHN1,0.729109906642508
17,ADGRE10,0.9206168204000705,NRXN1B,1.3517973845729103,FA2H,1.2368304163292965,PRICKLE1B,1.0274675965728968,ANKRD12,0.8341253750240948,HSD17B2,0.9061462771241225,KIAA0101,0.9508724229299046,PCDH1B,0.707312344483384,RASL11B,0.7261149176454523
18,RAC1A,0.9204389491458032,PON1,1.334142034631558,EVPLA,1.2358874794370527,HES6,1.0080457137595584,BOKB,0.8124362901709259,NCOA7,0.8971767048003335,RPL12,0.9493421015025034,CABZ01070258.1,0.704932542181178,SLC4A2A,0.7120525054850652
19,WEE2,0.9167921662023992,CABZ01001464.1,1.3328506330955252,KLF17,1.2323935126690992,HER1,1.0039163624670373,ZGC:56231,0.8052174103491059,RYR1A,0.8845827293584237,SI:CH211-113A14.16,0.9425217307172664,ZGC:163040,0.7032571756029924,CDKN1A,0.6974742791163362
20,SKP2,0.9056137479741972,CPE,1.3034461666543877,MGLL,1.227249022237706,APOC1,1.0019532354414684,NEK2,0.8029831974099987,PARP6A,0.8843726772824893,SI:DKEY-261M9.17,0.942503589241649,TIAM1B,0.699974039492651,E2F7,0.6678854184940252
21,BIRC5B,0.9044749108657273,CYR61L2,1.2695057191753114,SI:DKEYP-67A8.4,1.2124202724512174,SP5L,0.9940500374032137,LPCAT4,0.7998400313482781,BX546500.1,0.8803257984668726,SI:DKEY-234I14.20,0.9403184090302409,SI:CH211-139K8.4,0.6976386299105355,GATA2A,0.6657455997845103
22,ZNF986,0.8992277037883194,SETD2,1.2194856092634028,FUT9B,1.2010340577847445,VED,0.9606665657656032,GRA,0.7948991595456713,RNF213,0.877650462004979,CDKN1BB,0.9318570263197058,PFKFB4B,0.6928858591461299,SI:DKEY-204L11.1,0.6649605032344169
23,ZGC:91910,0.8975806429714754,MLXIP,1.216770874767198,FTR82,1.1910527228623529,MSX3,0.9565961278884079,MAP7,0.7825685388416437,ZNF644B,0.864898395566225,U1,0.9298341637907811,ZIC2B,0.6925776594121531,SZL,0.6530342278130213
24,SUPT4H1,0.8965962674993334,SI:CH211-241E1.5,1.2150220578091266,GRHL3,1.1892538241043313,ARL4AB,0.941709182489452,SI:DKEY-163F14.5,0.7790898633312633,PDLIM5A,0.8636308794423114,SI:DKEYP-3B12.10,0.9289363139217427,TCF7L1A,0.6901269465436884,SI:CH211-239D6.2,0.6070425328590653
25,DDX17,0.8934167986157905,SI:CH73-46J18.5,1.2009550319796536,CLDNB,1.183181157324467,LEF1,0.9319539246663002,CNOT4B,0.7770678322358077,CSF1RB,0.8591960005963084,CLIP4,0.9285390372606263,CDH2,0.6884435354499169,HSD17B2,0.6041992865977948
26,PRMT1,0.8903515621683812,ZNF1068,1.19592545541631,PLEKHF1,1.1721079930696487,LAMB1A,0.9058928842091329,RGS14A,0.7764365899735207,JAKMIP2,0.8529974672897258,SI:CH211-113A14.10,0.9131716799283934,RGS3B,0.6835316769818154,RGS20,0.6006636391355503
27,FKBP7,0.8861442514056591,ZNF1057,1.1738226175128192,CYT1L,1.1612064559873794,WNT8A,0.8982011420659167,RPAIN,0.7632753427670053,KLHL22,0.8465057124359082,SI:CH211-272F15.5,0.8996739353685571,KIF26AB,0.6832895344379653,RPS27.2,0.6005738109213609
28,ASB11,0.8767134673503365,POLR2A,1.1707144086576022,ZGC:153911,1.1542590145465832,SI:CH211-279M15.1,0.8927032948390287,CHD6,0.7623344787323916,BAALC,0.8459719240110929,SI:CH211-7C8.2,0.8994084976859023,CX43.4,0.673715083446704,BCL3,0.5953716919802099
29,THY1,0.8729376155546368,CHD7,1.1672670124489575,PERP,1.143807025490973,SI:DKEY-149I7.2,0.8812289626393929,RRBP1B,0.7596948943612449,CR361561.2,0.8363239339664646,SI:CH1073-159D7.7,0.8993846647654031,ZNF319,0.6690132440315958,SNX11,0.5865646370552435
